Time,Ry,Ay,Vy,Y
0.187,125.480911,-7.954692485,-0.644033421,-0.034173115
0.188,123.714065,-7.980675515,-0.652014096,-0.034825129
0.189,121.999039,-8.005896485,-0.660019993,-0.035485149
0.19,120.337174,-8.030335676,-0.668050328,-0.036153199
0.191,118.729049,-8.053984574,-0.676104313,-0.036829304
0.192,117.174103,-8.076851426,-0.684181164,-0.037513485
0.193,115.670822,-8.0989585,-0.692280123,-0.038205765
0.194,114.217637,-8.120328868,-0.700400452,-0.038906165
0.195,112.814408,-8.140964588,-0.708541416,-0.039614707
0.196,111.463516,-8.160830647,-0.716702247,-0.040331409
0.197,110.170761,-8.17984175,-0.724882089,-0.041056291
0.198,108.944259,-8.197878544,-0.733079967,-0.041789371
0.199,107.793182,-8.214806147,-0.741294773,-0.042530666
0.2,106.725098,-8.230513265,-0.749525287,-0.043280191
0.201,105.743957,-8.244941809,-0.757770228,-0.044037961
0.202,104.849427,-8.258096662,-0.766028325,-0.04480399
0.203,104.036926,-8.270045206,-0.77429837,-0.045578288
0.204,103.299119,-8.280895309,-0.782579265,-0.046360867
0.205,102.62764,-8.29077,-0.790870035,-0.047151737
0.206,102.014099,-8.299792662,-0.799169828,-0.047950907
0.207,101.451035,-8.308073015,-0.807477901,-0.048758385
0.208,100.932281,-8.31570175,-0.815793603,-0.049574179
0.209,100.453049,-8.322749279,-0.824116352,-0.050398295
0.21,100.010987,-8.329250191,-0.832445602,-0.051230741
0.211,99.607102,-8.335189676,-0.840780792,-0.052071522
0.212,99.246109,-8.340498397,-0.84912129,-0.052920643
0.213,98.936294,-8.3450545,-0.857466345,-0.053778109
0.214,98.687897,-8.348707397,-0.865815052,-0.054643924
0.215,98.510712,-8.351313059,-0.874166365,-0.055518091
0.216,98.411499,-8.352772074,-0.882519137,-0.05640061
0.217,98.391983,-8.353059074,-0.890872197,-0.057291482
0.218,98.447983,-8.352235544,-0.899224432,-0.058190706
0.219,98.570191,-8.350438368,-0.90757487,-0.059098281
0.22,98.746094,-8.347851559,-0.915922722,-0.060014204
0.221,98.962357,-8.344671221,-0.924267393,-0.060938471
0.222,99.206711,-8.341077779,-0.932608471,-0.06187108
0.223,99.46959,-8.337211912,-0.940945683,-0.062812025
0.224,99.744537,-8.333168574,-0.949278852,-0.063761304
0.225,100.027771,-8.329003368,-0.957607855,-0.064718912
0.226,100.317673,-8.324740103,-0.965932595,-0.065684845
0.227,100.614029,-8.320381926,-0.974252977,-0.066659098
0.228,100.917602,-8.315917618,-0.982568895,-0.067641667
0.229,101.229813,-8.311326279,-0.990880221,-0.068632547
0.23,101.552491,-8.306581015,-0.999186802,-0.069631734
0.231,101.887146,-8.301659618,-1.007488461,-0.070639222
0.232,102.23407,-8.296557794,-1.015785019,-0.071655007
0.233,102.59166,-8.291299118,-1.024076318,-0.072679083
0.234,102.956115,-8.285939485,-1.032362258,-0.073711446
0.235,103.322143,-8.280556721,-1.040642815,-0.074752089
0.236,103.684952,-8.275221294,-1.048918036,-0.075801007
0.237,104.041748,-8.269974294,-1.05718801,-0.076858195
0.238,104.393265,-8.264804926,-1.065452815,-0.077923647
0.239,104.743958,-8.259647676,-1.073712463,-0.07899736
0.24,105.100784,-8.254400235,-1.081966863,-0.080079327
0.241,105.471557,-8.248947691,-1.090215811,-0.081169543
0.242,105.863281,-8.243187044,-1.098458998,-0.082268002
0.243,106.28064,-8.237049412,-1.106696047,-0.083374698
0.244,106.726273,-8.230495985,-1.114926543,-0.084489624
0.245,107.201461,-8.223507926,-1.123150051,-0.085612774
0.246,107.707214,-8.216070382,-1.131366121,-0.08674414
0.247,108.245636,-8.208152412,-1.139574274,-0.087883715
0.248,108.820617,-8.199696809,-1.147773971,-0.089031489
0.249,109.437836,-8.190620059,-1.155964591,-0.090187453
0.25,110.104096,-8.180822118,-1.164145413,-0.091351599
0.251,110.826325,-8.170201103,-1.172315614,-0.092523914
0.252,111.610168,-8.158674,-1.180474288,-0.093704388
0.253,112.458786,-8.146194324,-1.188620482,-0.094893009
0.254,113.37233,-8.132759853,-1.196753242,-0.096089762
0.255,114.347305,-8.118421985,-1.204871664,-0.097294634
0.256,115.376709,-8.103283691,-1.212974948,-0.098507609
0.257,116.451095,-8.087483897,-1.221062432,-0.099728671
0.258,117.559829,-8.071178985,-1.229133611,-0.100957805
0.259,118.693115,-8.054513015,-1.237188124,-0.102194993
0.26,119.843964,-8.037588765,-1.245225712,-0.103440219
0.261,121.009751,-8.020444838,-1.253246157,-0.104693465
0.262,122.192887,-8.003045779,-1.261249203,-0.105954714
0.263,123.400039,-7.985293544,-1.269234497,-0.107223949
0.264,124.640381,-7.967053221,-1.27720155,-0.10850115
0.265,125.923202,-7.948188206,-1.285149738,-0.1097863
0.266,127.255737,-7.928592103,-1.29307833,-0.111079378
0.267,128.642105,-7.908204338,-1.300986534,-0.112380365
0.268,130.083252,-7.887011,-1.308873545,-0.113689238
0.269,131.578232,-7.865026,-1.316738571,-0.115005977
0.27,133.126099,-7.84226325,-1.324580835,-0.116330558
0.271,134.727036,-7.818720059,-1.332399555,-0.117662957
0.272,136.383041,-7.794367044,-1.340193922,-0.119003151
0.273,138.097748,-7.769150765,-1.347963073,-0.120351114
0.274,139.875153,-7.743012456,-1.355706085,-0.12170682
0.275,141.718826,-7.715899618,-1.363421985,-0.123070242
0.276,143.63118,-7.687776765,-1.371109761,-0.124441352
0.277,145.612687,-7.658636956,-1.378768398,-0.12582012
0.278,147.66217,-7.6284975,-1.386396896,-0.127206517
0.279,149.776794,-7.597400088,-1.393994296,-0.128600512
0.28,151.952073,-7.565410691,-1.401559707,-0.130002071
0.281,154.182159,-7.532615309,-1.409092322,-0.131411164
0.282,156.460632,-7.499108353,-1.41659143,-0.132827755
0.283,158.781403,-7.464979368,-1.42405641,-0.134251811
0.284,161.140168,-7.430291647,-1.431486701,-0.135683298
0.285,163.535843,-7.395061132,-1.438881762,-0.13712218
0.286,165.971131,-7.359248074,-1.446241011,-0.138568421
0.287,168.452713,-7.322754221,-1.453563765,-0.140021985
0.288,170.990402,-7.285435265,-1.4608492,-0.141482834
0.289,173.595733,-7.247121574,-1.468096322,-0.14295093
0.29,176.280884,-7.207634059,-1.475303956,-0.144426234
